# Reconstructed CPU request cycles (fit_2026.cc --trellis).
# Per capture: phi is the pin delay used, eps the per-edge tolerance.
# edge  t2 (/CSx rise, VDP cycles)  T (cycle the arbiter saw it)  slot (RAS granted)  dev
# dev = T - floor(t2 + phi), non-zero only for an edge that the
# tolerance let tip to the neighbouring cycle. Only captures whose
# reconstruction reproduced the .txt exactly are listed.

capture scr5-dispOff-stop-rdwrCpu-1g.txt  mode dispOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 11.03026  eps 0.00000  edges 115  grants 113  pre-capture request no
 110   8964.703    8975     8996     0
 111   9036.153    9047     9068     0
 112   9107.603    9118     9140     0
 113   9179.320    9190     9212     0

capture scr5-sprOff-stop-rdwrCpu-1g.txt  mode sprOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 10.85170  eps 0.25000  edges 115  grants 114  pre-capture request no
   0   1078.317    1089     1110     0
   1   1132.132    1142     1174     0
   2   1203.849    1214     1266     0
   3   1275.299    1286     1306     0
   4   1525.777    1536     1582     0
   5   1597.093    1607     1646     0
   6   1668.810    1679     1710     0
   7   1740.261    1751     1774     0
   8   1811.978    1823     1870     1
   9   1883.428    1894     1934     0
  10   1955.013    1965     1998     0
  11   2026.329    2037     2062     0
  12   2098.046    2108     2126     0
  13   2169.497    2180     2222     0
  14   2241.214    2252     2286     0
  15   2312.664    2323     2350     0
  16   2384.115    2394     2414     0
  17   2455.565    2466     2510     0
  18   2527.282    2538     2574     0
